Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    31,04/04/23 00:15:05,51, 45.00, 19.80,307.043,133.476,136.585,136.619,132.491,132.670,128.397,121.260,116.236,107.946, 98.773, 91.519, 85.484, 82.977, 79.468, 77.706, 80.304, 82.173, 78.697, 76.655, 75.161, 71.276,219.175,239.735,259.291,276.197,288.084,291.871,293.145,294.073,294.931,295.526,295.831,294.932,295.667,295.454,1
    32,04/04/23 00:15:23,51, 45.00,160.20,307.048,149.120,151.957,152.422,148.180,147.550,142.573,135.143,130.756,120.432,109.687,101.423, 95.281, 92.205, 88.377, 86.583, 89.315,137.143, 85.810, 83.479, 81.464, 78.697,224.731,244.619,262.880,278.053,288.745,291.798,293.567,294.946,294.805,295.441,295.460,295.726,295.403,295.870,1
    33,04/04/23 00:15:23,41, 294.9200,  94.3200,1010.4000, 241.3900,0,1
    34,04/04/23 00:15:46,51, 90.00, 19.80,307.050,132.559,136.494,136.069,131.957,131.746,128.118,120.859,115.935,107.344, 98.204, 89.778, 84.666, 81.919, 78.221, 77.138, 80.034, 82.222, 78.104, 76.131, 74.499, 70.542,218.434,239.485,259.277,275.788,287.358,291.854,294.254,294.361,295.161,295.366,295.554,295.389,295.855,296.262,1
    35,04/04/23 00:16:04,51, 90.00,160.20,307.048,148.025,150.929,151.165,146.704,147.096,142.165,134.075,131.022,119.365,108.657,100.822, 94.216, 91.248, 87.322, 85.408, 87.958, 91.201, 85.205, 83.093, 81.293, 77.922,225.111,244.921,263.294,278.197,288.435,291.924,293.743,295.186,295.398,295.702,295.809,296.440,295.965,295.979,1
    36,04/04/23 00:16:04,41, 294.9300,  94.2600,1010.2000, 241.6500,0,1
    37,04/04/23 00:16:27,51,135.00, 19.80,307.047,136.075,139.529,139.037,134.962,135.803,130.876,122.767,119.221,109.759, 99.880, 92.072, 86.381, 83.542, 79.490, 78.627, 80.647,115.677, 78.921, 77.213, 75.846, 72.137,218.864,239.666,259.077,276.171,287.282,291.557,293.642,294.077,294.995,295.391,295.950,295.501,295.935,295.796,1
    38,04/04/23 00:16:45,51,135.00,160.20,307.047,142.643,146.166,146.828,141.876,142.310,138.018,129.549,124.477,115.940,105.487, 98.466, 91.153, 89.000, 85.236, 83.214, 86.209, 86.577, 83.070, 81.217, 79.318, 76.189,224.649,244.583,263.144,278.196,288.737,292.165,294.053,294.991,294.929,295.869,296.187,295.610,295.564,296.027,1
    39,04/04/23 00:16:45,41, 294.9100,  94.2600,1010.3000, 242.0800,0,1
    40,04/04/23 00:18:03,41, 294.9000,  94.2100,1010.3000, 241.9300,0,1
