Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
100,04/01/23 00:38:44,51,90.0,160.2,307.369,105.063,107.733,107.91,104.359,103.621,101.384,94.953,92.756,84.147,76.902,71.692,66.968,64.63,60.637,60.258,63.825,70.556,64.251,62.207,59.926,57.261
102,04/01/23 00:39:08,51,135.0,19.8,307.356,100.515,103.677,103.55,99.384,99.202,96.375,89.889,87.622,79.766,72.803,67.46,63.969,60.965,57.972,56.921,61.167,99.234,61.952,59.131,58.182,54.973
103,04/01/23 00:39:25,51,135.0,160.2,307.347,88.071,91.09,91.008,87.232,87.083,85.453,80.164,75.795,70.506,64.142,59.388,55.63,54.624,50.233,50.505,54.711,58.076,56.823,54.505,53.366,49.931
106,04/01/23 00:41:18,51,0.0,19.8,307.304,87.034,89.917,89.796,85.294,86.077,83.673,77.881,74.913,68.554,62.176,58.433,55.365,53.375,50.001,50.026,53.918,56.865,55.123,53.756,52.194,48.756
107,04/01/23 00:41:36,51,0.0,90.0,307.296,36.319,37.711,38.07,35.968,36.16,37.254,32.935,31.557,28.507,24.608,23.19,22.421,20.314,19.058,19.088,25.974,30.472,28.656,27.761,25.557,21.811
108,04/01/23 00:41:54,51,0.0,160.2,307.288,105.333,107.618,108.337,104.245,104.689,101.541,94.783,91.206,83.993,76.601,71.216,67.007,64.977,60.582,60.14,64.602,144.326,64.167,62.104,60.763,57.28
109,04/01/23 00:42:17,51,45.0,19.8,307.28,84.954,87.061,87.28,83.264,83.58,80.934,75.386,71.865,66.196,60.467,56.061,54.485,51.201,48.957,47.791,53.046,56.328,55.066,52.039,50.962,48.0
110,04/01/23 00:42:35,51,45.0,160.2,307.276,103.965,106.437,107.158,103.403,103.399,100.676,94.109,90.89,83.003,75.597,71.32,66.709,64.398,60.303,59.406,63.983,111.686,64.012,61.434,59.555,56.804
112,04/01/23 00:42:58,51,90.0,19.8,307.265,86.032,88.07,88.223,84.01,84.848,82.94,77.134,73.682,67.109,61.552,57.47,55.144,52.147,49.195,48.196,53.649,57.94,55.265,52.861,50.925,48.487
113,04/01/23 00:43:16,51,90.0,160.2,307.26,101.666,103.3,104.079,100.145,100.012,97.397,90.755,88.93,80.068,72.995,68.001,63.789,62.088,58.247,57.427,62.645,68.112,62.693,59.872,57.962,55.696
115,04/01/23 00:43:39,51,135.0,19.8,307.251,94.454,97.618,97.838,93.504,93.423,91.309,85.098,82.428,74.36,68.103,62.767,60.37,57.351,54.162,53.298,58.621,97.676,58.738,56.771,55.705,52.117
116,04/01/23 00:43:57,51,135.0,160.2,307.246,86.38,89.073,88.649,85.393,85.339,83.02,77.063,73.37,68.149,61.608,57.661,55.077,52.994,49.341,48.963,54.712,58.068,55.717,53.314,51.81,48.622
119,04/01/23 00:45:50,51,0.0,19.8,307.231,84.67,86.877,87.027,82.918,83.721,82.333,75.781,72.574,65.971,61.072,55.447,53.499,50.652,48.555,47.484,52.835,55.588,54.089,51.662,51.627,47.898
120,04/01/23 00:46:08,51,0.0,90.0,307.227,35.462,36.883,36.855,34.921,34.411,36.084,32.173,30.729,26.172,23.87,22.113,20.832,19.164,17.715,18.594,25.834,30.446,28.404,26.907,25.877,20.365
121,04/01/23 00:46:26,51,0.0,160.2,307.223,104.523,106.995,108.067,103.653,103.229,100.69,94.557,90.591,82.908,75.727,70.13,65.818,63.002,60.205,58.665,63.636,140.921,64.293,61.769,60.285,56.879
122,04/01/23 00:46:49,51,45.0,19.8,307.219,83.156,86.296,86.78,82.539,82.216,80.569,75.764,71.545,65.423,60.519,54.632,53.41,49.549,47.17,46.906,52.844,55.593,53.164,52.375,51.527,47.927
123,04/01/23 00:47:07,51,45.0,160.2,307.215,98.168,100.339,101.426,96.746,96.763,95.078,88.825,85.594,77.485,70.82,65.582,61.662,59.588,55.423,55.189,59.858,112.426,60.227,57.687,57.453,53.76
125,04/01/23 00:47:30,51,90.0,19.8,307.207,84.277,86.221,86.811,82.237,82.398,81.066,75.16,72.984,64.639,59.813,54.801,52.268,49.653,47.471,46.92,52.246,55.861,53.867,51.712,51.448,47.16
126,04/01/23 00:47:48,51,90.0,160.2,307.2,94.662,97.039,97.507,93.853,93.932,91.757,85.963,82.415,74.36,68.792,63.367,59.934,57.113,53.941,53.261,58.537,66.314,58.595,56.518,56.084,52.187
128,04/01/23 00:48:11,51,135.0,19.8,307.191,91.912,94.133,94.475,90.535,89.866,88.208,82.741,79.833,71.752,66.284,61.003,57.616,54.405,52.079,51.295,56.482,91.643,57.4,54.691,54.398,50.516
129,04/01/23 00:48:29,51,135.0,160.2,307.188,87.283,89.955,90.313,86.799,86.468,84.992,79.564,75.373,69.171,62.865,58.405,55.447,52.848,50.331,49.103,54.992,57.756,56.066,54.187,53.798,49.718
132,04/01/23 00:50:23,51,0.0,19.8,307.158,84.993,88.574,88.395,84.858,84.75,83.209,76.53,73.717,67.315,61.352,56.65,54.072,51.709,49.425,49.383,53.638,57.248,55.108,53.435,51.59,48.106
133,04/01/23 00:50:41,51,0.0,90.0,307.16,34.15,35.784,36.662,34.183,34.069,35.244,31.548,29.911,26.184,23.168,21.797,20.728,19.004,17.735,19.395,25.973,31.318,28.19,27.103,25.46,20.322
134,04/01/23 00:50:58,51,0.0,160.2,307.156,102.509,105.636,106.059,102.094,102.362,99.44,92.088,88.573,81.033,74.109,68.946,65.061,62.482,59.582,58.38,63.12,145.367,63.67,61.146,58.889,55.339
135,04/01/23 00:51:22,51,45.0,19.8,307.147,82.501,85.483,84.981,81.87,82.112,80.251,75.485,71.24,65.224,59.783,54.239,52.022,49.916,47.269,47.8,52.19,56.149,54.253,52.194,50.369,47.164
136,04/01/23 00:51:40,51,45.0,160.2,307.143,99.34,102.498,102.844,98.97,99.001,96.345,89.674,86.473,78.831,72.099,66.993,62.698,60.136,57.226,56.627,61.469,116.197,61.402,59.613,58.275,54.954
138,04/01/23 00:52:03,51,90.0,19.8,307.138,84.902,86.675,87.299,83.643,83.035,82.279,75.697,72.7,66.034,60.14,55.745,53.148,50.926,48.229,48.357,53.249,57.622,54.396,53.102,50.702,47.789
139,04/01/23 00:52:21,51,90.0,160.2,307.135,93.282,96.309,96.229,92.895,92.637,90.227,83.935,82.744,74.094,67.145,61.646,58.672,56.48,53.742,52.704,58.358,65.65,58.522,56.834,54.49,51.496
141,04/01/23 00:52:44,51,135.0,19.8,307.131,87.489,90.124,91.098,86.365,86.451,84.67,79.257,76.02,68.678,62.773,57.57,55.449,52.136,49.35,49.615,54.524,86.357,55.782,53.673,52.386,48.533
142,04/01/23 00:53:02,51,135.0,160.2,307.127,86.143,88.513,89.441,85.289,85.516,83.723,78.288,73.917,67.832,62.232,57.414,54.3,52.498,49.027,49.712,54.832,58.241,55.944,53.458,52.175,49.211
145,04/01/23 00:54:55,51,0.0,19.8,307.079,85.387,87.675,87.632,83.723,83.603,81.664,76.033,73.043,67.113,61.942,57.075,53.818,51.978,48.322,47.624,53.696,57.103,54.477,53.309,51.882,48.192
146,04/01/23 00:55:12,51,0.0,90.0,307.08,36.584,37.023,37.756,35.229,34.98,36.468,32.121,30.625,27.422,23.651,23.204,21.743,20.073,17.965,18.637,26.077,30.303,28.654,27.354,26.376,20.75
147,04/01/23 00:55:30,51,0.0,160.2,307.075,97.553,99.824,100.424,96.311,95.961,93.658,87.562,84.063,77.523,69.864,65.195,61.002,58.582,55.655,54.117,60.144,148.16,61.123,58.556,56.777,53.477
148,04/01/23 00:55:54,51,45.0,19.8,307.072,83.699,85.037,85.801,82.271,81.418,80.035,74.941,71.304,65.825,60.322,55.438,53.041,50.439,48.064,46.499,52.338,55.988,53.923,52.232,50.809,46.822
149,04/01/23 00:56:12,51,45.0,160.2,307.067,100.086,102.105,103.622,99.44,98.683,96.663,89.983,86.873,79.951,72.581,67.207,62.852,61.352,57.666,56.158,61.435,111.359,61.853,60.08,58.508,54.84
151,04/01/23 00:56:35,51,90.0,19.8,307.061,85.6,88.236,87.921,84.191,84.196,81.957,75.983,73.513,67.324,61.271,56.632,53.408,51.457,48.418,47.591,53.706,57.314,55.153,53.595,52.056,47.877
152,04/01/23 00:56:53,51,90.0,160.2,307.058,92.46,94.334,94.323,90.921,91.35,88.473,82.885,80.46,72.707,66.067,62.001,57.916,56.096,52.357,50.714,57.177,64.376,58.109,55.961,54.37,50.725
154,04/01/23 00:57:16,51,135.0,19.8,307.052,90.343,92.834,93.248,88.716,88.985,86.852,80.993,78.474,71.547,64.818,59.671,56.7,54.018,51.063,49.931,55.736,95.499,57.205,54.479,53.974,49.502
155,04/01/23 00:57:34,51,135.0,160.2,307.047,85.863,88.676,88.827,85.153,85.085,82.757,77.583,73.802,67.74,62.822,57.21,53.693,52.001,48.814,48.361,54.961,57.051,56.025,53.093,52.632,48.36
158,04/01/23 00:59:27,51,0.0,19.8,307.007,85.628,88.253,88.387,84.502,84.329,82.785,76.763,73.446,67.659,61.425,57.155,54.034,51.365,49.281,48.75,53.548,56.277,55.127,53.186,52.087,48.037
159,04/01/23 00:59:44,51,0.0,90.0,307.007,36.458,37.035,36.99,34.956,35.096,36.062,32.31,29.851,27.521,23.607,23.258,20.773,20.316,18.418,19.24,25.877,30.896,28.621,26.281,26.12,20.681
160,04/01/23 01:00:02,51,0.0,160.2,307.0,99.185,101.712,102.153,98.259,97.538,95.18,88.605,86.431,78.092,70.949,66.118,62.027,60.075,56.563,55.544,60.497,144.115,60.968,59.366,57.272,53.913
161,04/01/23 01:00:25,51,45.0,19.8,306.991,84.495,86.856,86.122,83.206,82.918,81.263,75.391,71.688,65.548,60.704,55.719,53.258,50.75,47.9,47.792,52.997,56.235,54.059,52.929,51.215,48.024
162,04/01/23 01:00:44,51,45.0,160.2,306.986,97.87,100.303,100.752,96.994,96.388,94.447,87.858,84.189,76.821,70.064,65.343,61.089,59.318,56.202,54.235,59.332,110.626,60.582,58.052,56.826,53.894
164,04/01/23 01:01:07,51,90.0,19.8,306.978,82.966,85.644,84.978,81.862,80.943,79.545,73.873,70.087,64.611,58.515,54.588,51.868,49.568,46.369,46.485,52.054,55.773,53.357,51.453,50.34,46.79
165,04/01/23 01:01:26,51,90.0,160.2,306.972,90.297,92.787,92.73,89.434,89.094,86.557,80.841,79.265,70.605,64.304,60.571,56.458,54.479,50.834,50.475,55.959,63.852,56.875,54.668,53.531,50.393
167,04/01/23 01:01:48,51,135.0,19.8,306.969,88.865,91.096,91.13,87.443,87.022,85.372,78.681,76.264,68.699,63.188,57.989,55.083,52.97,50.146,49.144,54.393,92.671,55.516,53.954,52.079,48.481
168,04/01/23 01:02:06,51,135.0,160.2,306.963,88.601,91.866,91.134,87.999,87.436,85.539,79.396,75.762,70.414,63.984,59.768,56.038,54.243,51.187,49.87,55.91,58.683,56.583,54.593,54.042,50.393
171,04/01/23 01:04:00,51,0.0,19.8,306.918,86.376,89.151,89.992,84.554,85.814,82.977,78.075,74.023,68.297,61.967,58.345,54.887,52.05,49.379,49.326,54.376,57.25,55.483,53.749,53.256,49.495
172,04/01/23 01:04:17,51,0.0,90.0,306.92,35.22,36.218,37.563,32.986,34.446,34.742,31.928,29.85,26.857,23.261,22.888,20.738,19.957,18.788,19.437,24.753,30.877,28.053,26.914,25.842,21.157
