Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    60,04/06/23 00:24:55,51, 90.00, 19.80,308.563,156.551,160.471,160.794,154.028,154.422,146.735,137.327,132.603,121.271,110.356,101.450, 94.946, 90.989, 87.251, 85.289, 86.983, 88.136, 84.760, 82.007, 80.193, 76.553,220.909,240.475,259.242,275.757,286.385,292.277,293.760,294.849,296.074,296.232,296.299,296.514,296.117,296.481,1
    61,04/06/23 00:25:13,51, 90.00,160.20,308.571,162.185,165.365,165.847,160.239,159.758,153.504,144.275,141.019,127.756,116.871,107.596,100.226, 96.915, 92.691, 90.313, 91.754, 97.136, 89.093, 86.710, 84.502, 81.178,226.943,245.492,263.182,277.782,286.793,291.975,293.630,294.818,295.718,296.736,296.334,296.995,296.344,296.910,1
    62,04/06/23 00:25:13,41, 297.8600,  72.2800,1009.7000, 241.5800,0,1
    63,04/06/23 00:25:35,51,135.00, 19.80,308.576,155.901,160.218,160.543,154.106,153.979,146.601,137.295,133.729,120.713,110.259,101.176, 94.435, 91.128, 87.037, 84.649, 86.258,116.141, 84.180, 81.662, 79.953, 76.770,220.564,240.463,258.889,275.041,285.880,291.368,293.208,294.376,295.622,296.124,295.964,296.532,296.750,296.729,1
    64,04/06/23 00:25:53,51,135.00,160.20,308.577,164.426,168.130,169.035,162.867,162.751,155.733,146.500,141.347,129.767,118.396,109.626,102.429, 98.867, 94.100, 92.011, 93.513, 93.647, 90.966, 88.108, 86.107, 82.446,227.647,246.449,263.500,278.075,286.939,292.270,293.698,294.155,295.855,296.207,296.087,296.747,296.498,296.630,1
    65,04/06/23 00:25:54,41, 297.9300,  71.8400,1009.6000, 242.0000,0,1
    66,04/06/23 00:27:12,41, 297.9600,  71.8700,1009.7000, 242.7100,0,1
    67,04/06/23 00:27:47,51,  0.00, 19.80,308.581,158.486,162.168,162.973,157.168,156.659,149.814,140.839,135.279,123.574,112.907,104.483, 97.782, 94.085, 90.066, 87.123, 89.048, 89.148, 87.491, 84.027, 82.446, 78.267,223.623,242.274,260.727,276.860,286.891,292.210,293.689,295.174,295.663,296.422,296.762,296.528,297.035,296.602,1
    68,04/06/23 00:28:05,51,  0.00, 90.00,308.580, 71.637, 74.891, 74.520, 71.024, 70.813, 68.125, 62.762, 60.019, 52.176, 45.721, 43.276, 39.363, 37.472, 35.381, 35.225, 40.966, 44.811, 42.090, 39.562, 38.596, 33.585,116.878,139.286,163.323,193.975,229.288,259.930,280.801,289.009,292.412,294.550,295.071,295.198,294.835,295.321,1
    69,04/06/23 00:28:22,51,  0.00,160.20,308.582,162.693,166.805,166.972,161.203,160.882,154.208,144.792,140.350,127.549,115.302,107.183, 99.812, 96.822, 92.224, 89.167, 91.778,171.269, 89.339, 86.836, 84.379, 81.216,226.184,244.428,262.224,277.622,287.795,292.478,293.968,294.707,294.963,296.346,297.255,297.041,297.717,297.286,1
    70,04/06/23 00:28:45,51, 45.00, 19.80,308.579,156.883,161.172,161.438,155.765,154.977,148.628,138.991,133.570,122.476,111.189,102.594, 96.459, 92.976, 88.332, 85.659, 88.268, 88.953, 85.276, 83.206, 80.834, 78.079,222.531,241.507,259.995,276.574,287.843,291.774,293.327,294.330,296.027,296.291,296.555,296.720,297.166,296.719,1
    71,04/06/23 00:29:03,51, 45.00,160.20,308.576,160.296,164.319,164.733,158.996,158.356,151.542,142.673,138.197,126.041,114.767,106.029, 98.957, 95.673, 91.562, 88.265, 91.142,139.904, 88.206, 85.461, 83.095, 80.599,226.291,244.041,262.654,278.078,288.026,292.375,293.953,294.561,295.777,297.499,296.795,296.716,295.892,296.538,1
    72,04/06/23 00:29:04,41, 297.8700,  72.2000,1009.6000, 244.7200,0,1
    73,04/06/23 00:29:26,51, 90.00, 19.80,308.576,156.107,159.811,160.383,154.613,153.908,146.952,137.749,132.784,121.004,109.791,101.654, 94.880, 90.867, 87.150, 84.451, 86.829, 87.838, 84.090, 82.002, 80.181, 77.157,221.278,240.303,259.568,276.045,287.291,292.081,293.947,294.832,294.980,296.583,296.877,297.139,297.303,296.789,1
    74,04/06/23 00:29:44,51, 90.00,160.20,308.575,161.741,165.407,165.757,160.990,160.222,153.579,144.382,141.802,128.293,116.187,107.811,100.482, 97.466, 93.278, 89.857, 92.132, 97.069, 89.417, 87.340, 85.230, 82.088,227.173,245.484,263.184,278.548,288.384,292.439,294.248,294.567,295.012,296.553,296.868,296.683,297.227,296.435,1
    75,04/06/23 00:29:45,41, 297.8600,  71.9800,1009.6000, 243.1700,0,1
    76,04/06/23 00:30:07,51,135.00, 19.80,308.572,155.745,159.638,160.084,154.678,153.281,147.069,137.574,133.662,120.514,109.817,101.367, 95.025, 90.896, 87.105, 84.095, 86.416,118.591, 84.564, 82.075, 79.588, 77.129,220.972,239.843,259.309,275.768,287.011,292.186,294.000,294.486,295.328,296.606,296.317,296.442,297.139,297.046,1
    77,04/06/23 00:30:25,51,135.00,160.20,308.568,162.276,166.539,166.835,161.728,160.939,154.182,144.971,139.842,128.121,116.322,108.494,101.123, 97.340, 93.364, 90.740, 93.143, 93.555, 90.461, 88.165, 85.401, 82.788,227.371,245.876,263.337,278.391,288.201,292.250,294.110,294.484,295.327,296.968,296.641,296.712,296.708,297.051,1
    78,04/06/23 00:30:26,41, 297.9200,  71.6400,1009.6000, 241.3900,0,1
    79,04/06/23 00:31:44,41, 297.9300,  71.6400,1009.6000, 243.0600,0,1
    80,04/06/23 00:32:19,51,  0.00, 19.80,308.560,160.615,164.300,164.507,158.555,158.294,151.261,142.107,137.556,125.628,114.618,105.466, 98.300, 95.305, 90.675, 88.579, 91.034, 90.705, 86.964, 86.232, 83.421, 79.988,223.973,242.809,260.819,276.593,286.938,292.065,293.270,295.122,295.691,296.788,296.479,296.026,295.914,296.111,1
    81,04/06/23 00:32:37,51,  0.00, 90.00,308.563, 70.252, 72.173, 72.518, 68.452, 68.712, 66.261, 60.140, 58.136, 50.362, 44.996, 41.851, 37.368, 36.142, 33.090, 34.077, 39.515, 42.791, 40.343, 39.203, 36.979, 32.172,115.578,137.957,163.054,193.398,228.671,260.238,280.943,289.605,292.134,293.723,294.297,295.402,295.076,294.880,1
    82,04/06/23 00:32:54,51,  0.00,160.20,308.567,163.897,167.707,167.486,161.660,161.834,154.244,144.894,140.034,128.915,116.842,107.895, 99.992, 97.024, 92.277, 90.644, 92.465,176.130, 88.328, 87.125, 85.010, 80.921,226.139,244.556,262.820,278.046,287.509,292.478,293.618,295.864,295.780,296.290,297.120,296.466,296.666,295.858,1
    83,04/06/23 00:33:17,51, 45.00, 19.80,308.567,156.451,160.214,159.874,153.733,153.709,147.160,137.951,132.927,121.675,110.945,101.697, 94.996, 91.969, 87.400, 85.614, 87.929, 88.462, 84.880, 83.046, 80.403, 77.013,221.728,240.878,260.096,276.269,287.430,292.084,293.470,294.806,295.342,296.515,296.742,296.586,296.039,296.220,1
    84,04/06/23 00:33:36,51, 45.00,160.20,308.567,160.955,164.435,165.054,158.570,158.364,151.842,143.324,138.722,126.484,115.358,106.541, 98.572, 95.933, 91.232, 89.475, 91.436,137.574, 87.993, 86.342, 83.804, 80.274,226.444,244.853,263.103,278.491,288.087,292.858,293.875,295.368,295.735,296.882,296.841,296.127,296.696,296.743,1
