Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,DataQuality
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800,DataQuality
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
    28,04/01/23 00:14:08,51,  0.00, 19.80,307.827, 96.015, 99.959, 99.233, 95.808, 96.020, 93.044, 86.761, 83.421, 76.759, 70.697, 65.109, 60.929, 59.262, 55.864, 54.694, 59.913, 62.951, 61.470, 58.459, 57.153, 52.963,212.389,234.533,256.289,275.333,287.548,292.720,294.344,295.856,295.642,296.762,296.188,297.463,296.608,297.187,1
    29,04/01/23 00:14:26,51,  0.00, 90.00,307.819, 42.857, 44.709, 44.951, 42.574, 43.348, 43.042, 39.704, 37.426, 33.516, 30.071, 28.174, 25.184, 24.634, 21.946, 22.238, 29.585, 34.995, 32.062, 30.290, 28.573, 23.382,107.660,131.198,156.924,189.755,227.433,260.157,281.868,290.131,292.509,293.397,294.807,295.381,295.442,295.311,1
    30,04/01/23 00:14:44,51,  0.00,160.20,307.805,113.252,117.648,117.048,113.317,113.087,109.542,103.133, 99.844, 91.658, 83.494, 78.087, 72.284, 70.656, 66.658, 65.012, 69.489,146.474, 70.189, 66.700, 64.931, 61.774,218.476,239.050,259.532,276.965,287.529,292.933,294.500,295.857,295.563,295.917,296.308,297.142,297.015,297.158,1
    31,04/01/23 00:15:07,51, 45.00, 19.80,307.794, 95.265, 98.347, 98.360, 93.959, 94.047, 91.547, 86.194, 82.465, 75.425, 69.506, 63.792, 59.875, 58.470, 55.159, 53.719, 58.910, 62.028, 59.834, 57.505, 56.048, 52.387,210.990,233.481,255.830,274.819,287.404,292.565,294.758,295.667,296.119,296.504,296.487,297.434,296.590,297.881,1
    32,04/01/23 00:15:24,51, 45.00,160.20,307.785,110.134,113.475,113.956,110.013,110.343,106.700,100.421, 96.837, 88.755, 81.684, 75.258, 70.299, 67.821, 64.290, 63.310, 67.636,114.731, 67.494, 65.242, 63.300, 60.292,218.312,239.226,260.042,277.395,287.941,293.033,294.654,295.401,295.859,296.772,296.270,297.124,297.099,296.763,1
    33,04/01/23 00:15:25,41, 297.8300,  66.9700,1013.1000, 226.9900,0,1
    34,04/01/23 00:15:47,51, 90.00, 19.80,307.774, 95.214, 98.170, 98.127, 93.808, 94.086, 91.284, 85.648, 82.443, 75.266, 68.741, 63.492, 59.271, 58.109, 54.579, 53.479, 58.235, 63.703, 60.157, 57.530, 55.914, 52.204,210.765,233.357,255.381,274.965,287.331,293.370,295.490,296.022,295.950,296.623,296.452,298.108,297.532,297.941,1
    35,04/01/23 00:16:05,51, 90.00,160.20,307.766,108.026,111.615,111.495,107.767,108.660,106.053, 98.537, 97.812, 87.088, 79.481, 74.420, 69.768, 68.303, 63.764, 61.976, 66.643, 72.695, 67.070, 65.059, 63.059, 59.056,218.080,239.333,260.219,277.490,288.394,293.316,294.768,295.388,295.888,296.338,296.251,297.728,297.167,297.991,1
    36,04/01/23 00:16:06,41, 297.7900,  67.0300,1013.0000, 228.5400,0,1
    37,04/01/23 00:16:28,51,135.00, 19.80,307.759,106.052,110.440,109.765,105.548,105.988,103.184, 96.147, 93.259, 85.564, 78.541, 72.243, 67.037, 65.378, 61.868, 60.932, 65.071, 96.630, 65.207, 63.341, 60.941, 57.849,212.812,235.355,256.342,275.195,286.832,292.350,294.598,295.508,296.342,296.913,296.769,297.430,297.219,297.517,1
