Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000,Ch  51.248,Ch  51.760,Ch  52.280,Ch  52.804,Ch  53.336,Ch  53.848,Ch  54.400,Ch  54.940,Ch  55.500,Ch  56.020,Ch  56.660,Ch  57.288,Ch  57.964,Ch  58.800,DataQuality
90,04/08/23 00:30:21,51,135.0,160.2,306.154,208.377,211.438,212.771,208.02,208.043,202.814,196.484,193.301,185.967,178.189,172.676,168.301,167.749,166.063,166.147,168.216,172.677,168.617,169.843,169.836,168.651,267.611,273.401,279.411,284.9,289.495,292.469,293.169,293.235,293.636,294.601,294.252,295.708,295.0,294.764,1.0
93,04/08/23 00:31:21,51,0.0,19.8,306.126,199.954,202.794,203.345,198.873,198.677,193.424,187.131,183.538,175.136,167.67,161.041,157.092,154.782,153.851,153.919,156.978,159.587,156.966,157.808,157.937,155.593,264.575,271.753,279.098,284.775,289.315,291.909,293.33,293.228,294.006,295.08,295.315,294.121,293.976,295.02,1.0
94,04/08/23 00:31:38,51,0.0,90.0,306.118,116.963,119.569,120.418,116.911,117.614,115.438,111.182,109.35,104.699,101.051,98.467,95.818,96.171,95.917,98.519,103.322,107.151,106.592,106.847,108.091,103.551,201.25,213.877,226.57,242.683,260.421,276.27,286.784,289.248,291.826,293.08,293.804,293.226,294.194,294.248,1.0
95,04/08/23 00:31:55,51,0.0,160.2,306.11,231.365,232.917,233.789,231.128,231.196,228.934,224.97,222.866,218.799,214.988,212.469,209.63,209.595,209.218,210.326,213.019,272.231,214.14,215.961,216.96,216.334,275.572,279.379,282.76,286.76,289.813,292.627,294.13,293.752,294.231,295.183,295.045,294.581,295.064,295.445,1.0
96,04/08/23 00:32:19,51,45.0,19.8,306.1,249.125,250.919,251.81,250.49,251.202,250.496,248.586,247.674,245.352,243.938,242.98,242.133,242.144,242.397,243.796,245.998,250.39,248.028,249.587,249.976,250.466,280.91,282.989,285.437,288.02,290.054,292.912,293.643,293.02,294.395,295.228,295.203,294.615,294.125,295.306,1.0
97,04/08/23 00:32:37,51,45.0,160.2,306.092,222.191,224.568,225.562,222.594,222.901,219.053,214.706,212.511,206.953,201.902,198.425,195.064,194.441,193.375,194.994,197.351,231.842,198.368,199.867,201.691,199.706,271.482,276.514,281.514,286.072,289.754,292.891,294.231,294.082,294.794,294.821,295.308,294.78,294.691,295.554,1.0
99,04/08/23 00:33:00,51,90.0,19.8,306.085,242.441,244.025,244.718,243.367,244.195,243.138,240.792,239.361,236.722,235.648,233.813,232.949,232.898,233.163,234.975,237.583,242.983,240.016,241.811,242.887,242.891,281.861,284.349,286.386,288.392,290.384,292.557,294.039,293.196,294.457,294.266,295.173,294.719,294.389,295.418,1.0
100,04/08/23 00:33:18,51,90.0,160.2,306.076,212.359,214.886,215.52,211.625,212.003,207.468,201.543,200.079,191.314,185.421,180.536,175.951,175.103,173.752,174.515,177.12,185.025,177.939,178.393,178.707,177.615,267.858,273.853,279.276,285.169,289.025,292.688,293.835,293.472,294.711,294.936,295.912,294.203,294.56,295.592,1.0
102,04/08/23 00:33:41,51,135.0,19.8,306.061,248.324,249.84,250.716,249.764,250.404,249.33,247.29,246.989,244.548,243.111,242.233,241.579,241.556,241.241,243.292,245.631,276.334,248.141,249.869,250.708,251.0,282.794,285.002,286.849,289.253,291.064,293.293,294.16,293.274,294.538,295.37,295.056,295.011,295.601,295.452,1.0
103,04/08/23 00:33:59,51,135.0,160.2,306.052,206.496,209.223,209.652,205.048,205.554,200.182,194.193,189.821,182.648,175.603,169.954,164.632,163.569,162.489,162.641,164.921,169.653,165.085,165.503,165.743,163.986,267.184,273.264,279.392,285.468,289.646,292.992,293.816,293.423,294.126,295.106,295.619,295.153,295.15,295.436,1.0
