Record,Date/Time,50,Az(deg),El(deg),TkBB(K),Ch  22.000,Ch  22.234,Ch  22.500,Ch  23.000,Ch  23.034,Ch  23.500,Ch  23.834,Ch  24.000,Ch  24.500,Ch  25.000,Ch  25.500,Ch  26.000,Ch  26.234,Ch  26.500,Ch  27.000,Ch  27.500,Ch  28.000,Ch  28.500,Ch  29.000,Ch  29.500,Ch  30.000
67,04/04/23 00:27:41,51,0.0,19.8,306.938,134.327,137.6,137.669,133.03,133.202,129.308,121.256,116.639,108.427,98.345,92.06,86.56,82.804,78.997,76.727,81.217,82.172,79.22,76.683,74.242,71.835
68,04/04/23 00:27:59,51,0.0,90.0,306.937,59.794,61.139,61.206,58.353,58.335,58.645,52.426,50.252,45.273,39.184,36.888,34.781,32.386,31.115,30.555,37.257,40.944,38.459,36.483,35.364,30.944
69,04/04/23 00:28:17,51,0.0,160.2,306.937,142.994,145.707,146.644,141.69,141.737,137.641,128.982,124.455,115.475,104.398,97.966,91.764,88.274,84.634,82.174,86.235,165.5,83.828,81.053,78.532,75.967
70,04/04/23 00:28:40,51,45.0,19.8,306.933,131.93,134.528,134.951,130.682,130.687,126.957,119.138,115.025,105.96,96.986,90.129,85.169,81.211,77.951,75.589,79.921,81.045,77.911,75.315,73.516,70.468
71,04/04/23 00:28:58,51,45.0,160.2,306.93,145.144,148.378,149.125,145.039,144.8,139.844,131.246,127.785,117.224,107.021,99.691,94.038,89.801,86.158,83.501,87.781,133.692,84.855,82.278,79.653,77.177
73,04/04/23 00:29:22,51,90.0,19.8,306.927,132.633,135.511,136.207,131.361,131.493,126.859,119.999,115.752,106.196,96.884,90.52,85.538,81.83,78.47,76.409,80.48,82.311,77.962,76.207,74.021,71.639
74,04/04/23 00:29:40,51,90.0,160.2,306.925,143.208,145.511,146.594,142.3,141.805,137.879,129.271,126.314,115.507,105.131,98.127,91.704,89.375,84.823,82.887,86.506,91.045,83.736,81.127,79.048,76.448
76,04/04/23 00:30:02,51,135.0,19.8,306.921,133.385,136.095,137.484,132.561,132.721,128.425,120.712,117.488,107.748,97.553,90.896,85.691,82.689,78.851,76.786,80.517,112.285,78.765,76.189,74.042,71.35
77,04/04/23 00:30:20,51,135.0,160.2,306.921,140.979,143.572,144.213,139.62,139.565,135.626,127.053,122.818,113.915,103.433,97.041,90.712,87.335,83.417,80.813,85.15,85.955,82.749,80.271,78.207,75.883
80,04/04/23 00:32:14,51,0.0,19.8,306.911,133.358,136.486,137.026,132.667,132.526,128.589,120.974,116.376,107.811,99.067,91.379,85.339,82.884,78.08,77.355,80.493,81.625,78.689,76.754,74.96,71.459
81,04/04/23 00:32:31,51,0.0,90.0,306.914,58.421,60.866,60.284,57.816,58.067,57.074,52.148,49.984,45.014,40.229,37.273,33.912,33.606,30.481,31.378,36.857,41.448,38.114,36.55,35.496,30.993
82,04/04/23 00:32:49,51,0.0,160.2,306.916,141.294,145.089,145.433,140.68,141.256,136.298,127.928,124.15,115.124,104.965,96.625,90.937,88.514,84.382,82.646,85.287,164.524,82.987,80.738,79.052,75.577
83,04/04/23 00:33:12,51,45.0,19.8,306.921,131.96,135.082,134.945,131.027,131.625,127.084,119.783,115.338,106.698,97.776,90.81,84.337,82.267,77.904,76.938,80.462,81.428,78.278,75.797,74.516,71.284
84,04/04/23 00:33:30,51,45.0,160.2,306.923,144.415,147.084,147.717,143.561,143.563,138.487,130.674,126.414,117.166,107.003,99.148,92.369,90.227,85.491,84.033,86.592,134.481,84.282,81.571,79.544,77.018
86,04/04/23 00:33:53,51,90.0,19.8,306.926,131.584,134.966,134.93,131.232,130.986,126.849,119.605,115.431,106.362,98.045,89.89,84.53,82.021,77.886,76.583,79.528,81.507,77.769,75.961,74.804,71.284
87,04/04/23 00:34:11,51,90.0,160.2,306.928,141.73,144.539,144.737,140.884,140.842,135.945,128.052,125.693,114.904,105.283,97.109,90.779,87.908,84.03,82.651,85.12,88.229,83.262,80.63,78.374,76.142
89,04/04/23 00:34:34,51,135.0,19.8,306.928,133.155,136.145,136.434,131.96,132.107,128.205,120.445,117.739,107.763,98.126,90.818,85.359,82.418,78.49,77.309,80.345,117.496,78.644,76.272,75.171,71.46
